AccusedID,CaseMasterID,FullName,AliasName,Gender,Age,DOB,MobileNumber,AadhaarNumber,Occupation,Address,DistrictID,DistrictName,ArrestStatus,CriminalHistory,GangAffiliation,RiskLevel,WeaponUsed
12,6,Xavier Srivastava,King,Male,33,1966-11-19,9875456739,254509076202,Business,"606, Sha Road, Bhusawal-234309",22,Mysuru,Arrested,Yes,None,Low,Stick
13,7,Nirja Bhandari,Boss,Female,63,1958-03-19,9897469766,945698013752,Journalist,"H.No. 812, Bir Zila, Sambhal-939909",13,Dharwad,Arrested,No,None,Medium,Stick
14,8,Shaurya Virk,Rowdy,Male,56,1972-04-28,9878760268,507857154294,Teacher,"53/462, Shankar Road, Srinagar 799118",14,Gadag,Arrested,No,None,Medium,Firearm
15,9,Yashica Lanka,Anna,Female,44,1962-07-30,9964647002,178808405644,Electrician,"542, Mittal Chowk, Begusarai 124118",11,Dakshina Kannada,Arrested,Yes,None,Medium,None
16,10,Laban Manda,Don,Male,58,1987-08-12,9917730428,196192744441,Shop Keeper,"48/740, Sampath Zila, Varanasi 524278",20,Koppal,Arrested,No,Organized Crime,Low,Sharp Weapon
17,10,Aarna Choudhury,Rocky,Female,68,1959-07-18,9912078568,443739892384,Mechanic,"H.No. 98, Sani Street, Kalyan-Dombivli-505331",20,Koppal,Absconding,No,None,Medium,Sharp Weapon
18,11,Tanvi Dubey,Black,Female,20,2004-08-15,9885588454,746149366888,Cook,"602, Sabharwal Path, Shimoga-160733",1,Bagalkote,Absconding,No,None,Medium,Sharp Weapon
19,11,Parth Mody,Tiger,Male,33,1999-01-17,9966220977,112030342461,Mechanic,"H.No. 365, Boase Road, Etawah-850142",1,Bagalkote,Surrendered,Yes,None,High,Hands
20,12,Anirudh Chopra,Master,Male,47,1987-03-06,9962208961,435642813425,Student,"98, Rajan Zila, Rohtak 608835",19,Kolar,Absconding,Yes,Organized Crime,Low,Knife
21,13,Bakhshi Narayanan,Boss,Male,56,1988-08-01,9964927636,667686963457,Government Employee,"46/56, Datta Road, Bidar 299468",29,Vijayanagara,Arrested,No,None,Medium,Stick
22,13,Nidra Mangat,Rocky,Female,28,1966-09-11,9899992884,072663850321,Electrician,"73, Solanki Circle, Guwahati 895134",29,Vijayanagara,Absconding,No,Organized Crime,High,Hands
23,13,Hardik Din,Silent,Male,48,1956-11-06,9876936664,761009125339,Electrician,"17/69, Rajagopalan Ganj, Silchar-201632",29,Vijayanagara,Arrested,No,None,Low,Stone
24,13,Arya Krish,Anna,Female,57,2004-03-08,9909262423,939602998026,Sales Executive,"788, Nadig, Pudukkottai 872774",29,Vijayanagara,Arrested,Yes,Local Gang,Low,None
25,14,Lakshit Verma,Black,Male,55,1981-03-29,9888277529,957181375021,Electrician,"14, Magar Ganj, Imphal-223623",3,Belagavi,Absconding,No,Local Gang,Medium,Stick
26,14,Triya Reddy,King,Female,50,1973-02-03,9889078549,044649006026,Shop Keeper,"H.No. 366, Bahri, Morena-546688",3,Belagavi,Arrested,No,None,Medium,Hands
27,14,Yagnesh Kanda,Black,Male,68,1970-01-08,9961685848,483733296400,Sales Executive,"56, Sibal Street, Deoghar-699016",3,Belagavi,Absconding,Yes,None,Medium,Sharp Weapon
28,14,Vedhika Gopal,King,Female,60,1958-03-22,9874894902,315148351224,Doctor,"755, Mall Marg, Nizamabad-708053",3,Belagavi,Absconding,No,None,Low,Hands
29,15,Anmol Balasubramanian,Anna,Male,29,2005-11-20,9897330854,160724337750,Shop Keeper,"23/27, Kamdar Zila, Bardhaman-299124",12,Davanagere,Absconding,Yes,None,Low,Knife
30,16,Amara Muni,Black,Female,56,1986-01-27,9904253165,532902977214,Government Employee,"31/931, Dara Road, Sri Ganganagar-518506",4,Bengaluru Rural,Arrested,Yes,None,High,Hands
31,16,Chatresh Sant,Black,Male,43,2006-06-24,9987440344,624919463414,Teacher,"28, Yohannan Road, Kirari Suleman Nagar-945314",4,Bengaluru Rural,Arrested,No,None,Low,Firearm
32,16,Jairaj Shetty,Lucky,Male,50,1985-10-04,9961593788,211676174774,Private Employee,"H.No. 752, Kala Chowk, Rampur-494808",4,Bengaluru Rural,Absconding,No,None,High,None
33,16,Brijesh Khurana,Lucky,Male,46,1993-09-20,9874675304,032690535970,Farmer,"77/701, Kant Road, Latur-957885",4,Bengaluru Rural,Absconding,No,None,Low,Firearm
34,17,Oni Pandey,Ranga,Female,24,1992-10-22,9988375124,451324357600,Mechanic,"H.No. 31, Mutti Ganj, Jorhat 337498",25,Shivamogga,Arrested,No,Drug Network,Medium,Sharp Weapon
35,17,Daksha Hari,Anna,Female,23,1971-04-05,9916936617,056317999065,Business,"H.No. 08, Mahal Street, Meerut 271094",25,Shivamogga,Arrested,No,Cyber Group,Medium,Iron Rod
36,17,Wriddhish Sastry,Shadow,Male,27,1973-08-12,9872755756,865116697037,Engineer,"11, Swamy Marg, Gangtok 229413",25,Shivamogga,Absconding,No,None,Low,Stone
37,17,Sathvik Kara,Bullet,Male,41,1996-09-01,9969942359,881268518827,Journalist,"49, Mody Marg, Phagwara-334123",25,Shivamogga,Arrested,No,None,High,Sharp Weapon
38,18,Bishakha Dugar,Bullet,Female,19,1955-09-12,9900529309,867128617400,Lawyer,"H.No. 03, Mandal Road, Madurai-493618",24,Ramanagara,Arrested,Yes,None,Low,None
39,19,Falan Lata,King,Male,37,1999-05-15,9870474195,052146246090,Farmer,"499, Sarna Road, Bhind 648877",5,Bengaluru Urban,Absconding,No,None,High,Hands
40,20,Anusha Sankaran,Shadow,Female,41,1994-06-27,9897302615,713368694117,Lawyer,"H.No. 399, Luthra Nagar, Akola 874296",30,Vijayapura,Arrested,Yes,Cyber Group,Low,Stone
41,20,Chandani Singhal,Boss,Female,70,1973-12-31,9914062806,274449316372,Private Employee,"12/567, Rattan Road, Malda 545168",30,Vijayapura,Arrested,No,Organized Crime,Medium,Hands
42,21,Vihaan Sachdev,Tiger,Male,23,1958-06-06,9896364630,839299063869,Government Employee,"70/348, Mani Street, Shivpuri 093248",23,Raichur,Absconding,No,None,Low,Stick
43,22,Tanvi Chander,Master,Female,42,1967-06-19,9910143401,332901591772,Journalist,"H.No. 274, Mahajan Circle, Karawal Nagar 378263",4,Bengaluru Rural,Surrendered,Yes,None,High,Hands
44,23,Bakhshi Majumdar,Rocky,Male,63,1996-07-05,9909899675,221771329724,Driver,"40/44, Suri, Amroha-558867",21,Mandya,Arrested,No,None,Medium,Sharp Weapon
45,23,Girindra Khare,Boss,Male,37,1985-11-11,9909757809,646387619490,Unemployed,"H.No. 576, Doshi Marg, Vadodara-895171",21,Mandya,Arrested,No,Cyber Group,Low,Knife
46,23,Advika Dhawan,Bullet,Female,23,1977-04-14,9891926606,551693908097,Sales Executive,"45, Rao, Ozhukarai-578091",21,Mandya,Absconding,No,None,Medium,Stick
47,23,Mitali Karan,Shadow,Female,59,1995-02-19,9894862004,426377891353,Cook,"17/240, Nair Nagar, Durg-562386",21,Mandya,Arrested,Yes,None,High,Knife
48,24,Harinakshi Gill,Ranga,Female,33,1959-09-28,9989897119,484034250258,Government Employee,"92, Shenoy Ganj, Jaunpur-074821",26,Tumakuru,Arrested,No,None,High,Sharp Weapon
49,24,Pooja Mistry,King,Female,41,1989-06-03,9874515057,296193739715,Mechanic,"43, Subramanian Marg, Patiala-959440",26,Tumakuru,Arrested,Yes,Organized Crime,Medium,Hands
50,24,Laksh Anand,Bullet,Male,38,1985-07-20,9913368555,454031438865,Security Guard,"H.No. 39, Kanda Path, Udupi 210470",26,Tumakuru,Absconding,No,None,Medium,Stone
51,24,Ekaja Chana,Don,Female,28,2003-10-08,9916681609,103164798701,Journalist,"328, Wali Path, Dehradun 745171",26,Tumakuru,Surrendered,No,None,High,Stick
52,25,Jeevika Ranganathan,Bullet,Female,52,2006-10-28,9896868249,229977644597,Mechanic,"04, Dasgupta Circle, Arrah 965137",26,Tumakuru,Absconding,Yes,Drug Network,High,Firearm
53,25,Omisha Kant,Shadow,Female,20,1989-11-18,9899096728,252172092213,Shop Keeper,"61/200, Tailor Road, Jalandhar-826758",26,Tumakuru,Absconding,Yes,None,High,Knife
54,26,Garima Sachdeva,Rowdy,Female,48,1990-04-08,9961936905,579918199349,Private Employee,"H.No. 05, Sawhney Ganj, Noida-158506",25,Shivamogga,Surrendered,No,None,Low,Knife
55,26,Ikshita Das,King,Female,47,2005-11-08,9965498411,142177571888,Business,"39/005, Dass Ganj, Coimbatore-933529",25,Shivamogga,Arrested,No,Drug Network,Medium,Knife
56,27,Lakshit Dhillon,Master,Male,34,2007-11-24,9902793706,601345873192,Government Employee,"H.No. 020, Khanna Path, Pune 402681",8,Chikkaballapur,Surrendered,Yes,None,High,Stick
57,28,Vyanjana Sen,Shadow,Female,62,1996-10-16,9919788765,755391892518,Farmer,"39/08, Shanker Road, Ghaziabad 661771",12,Davanagere,Arrested,Yes,None,Medium,Hands
58,28,Oeshi Divan,Tiger,Female,26,1959-01-14,9914556302,020475089421,Labourer,"98, Setty Road, Navi Mumbai 836736",12,Davanagere,Surrendered,No,None,High,Hands
59,29,Vasana Rastogi,Tiger,Female,42,1977-08-09,9900981819,319879474324,Shop Keeper,"54, Dua Path, Jabalpur 116152",23,Raichur,Surrendered,Yes,None,High,Hands
60,29,Nitesh Das,Don,Male,33,1977-04-30,9880546820,457719295578,Farmer,"H.No. 94, Chawla Path, Bhatpara-315851",23,Raichur,Arrested,No,None,Low,Hands
61,30,Isaiah Sanghvi,King,Male,58,2000-05-08,9964499673,413748378959,Journalist,"H.No. 244, Panchal Path, Bokaro 961201",16,Haveri,Arrested,No,None,Low,Iron Rod
62,30,Riya Saini,Shadow,Female,23,1979-08-08,9917126681,775483909919,Private Employee,"H.No. 59, Chad, Bhatpara-901476",16,Haveri,Absconding,No,None,Low,Hands
63,31,Vaishnavi Sachdeva,Tiger,Female,42,1970-01-13,9905325409,489345212954,Private Employee,"14, Sur, Ranchi 690034",26,Tumakuru,Arrested,Yes,None,Medium,Hands
64,31,Ekantika Kumer,Ranga,Female,66,1970-11-24,9984774731,518995808001,Cook,"62, Rai Street, Orai 160607",26,Tumakuru,Absconding,Yes,None,Low,Knife
65,32,Nirja Sanghvi,Boss,Female,60,1985-12-12,9900540752,564919526237,Driver,"H.No. 605, Sharma Street, Hubli–Dharwad-136968",22,Mysuru,Arrested,No,Drug Network,Low,Hands
66,33,Rudra Mukherjee,Lucky,Male,23,1995-02-01,9903500144,758050288400,Student,"181, Uppal Circle, Karnal-231243",29,Vijayanagara,Arrested,Yes,None,High,Hands
67,33,Faraj Borra,Rocky,Male,55,1964-12-11,9887730128,383719759048,Doctor,"97/99, Mutti Path, Gandhidham-774490",29,Vijayanagara,Absconding,No,Drug Network,Low,Hands
68,34,Yashica Borah,Bullet,Female,49,1972-01-04,9883946606,770176731033,Electrician,"H.No. 541, Tripathi Zila, Surendranagar Dudhrej-793597",24,Ramanagara,Arrested,Yes,None,Medium,Stick
69,34,Azaan Seshadri,Bullet,Male,23,1961-01-15,9895578047,759256122112,Cook,"20/37, Viswanathan Chowk, Bharatpur 466590",24,Ramanagara,Arrested,No,None,Medium,Iron Rod
70,35,Bachittar Narayan,Ranga,Male,47,1960-07-25,9871038384,486536641337,Labourer,"H.No. 92, Bumb Path, Etawah-629148",5,Bengaluru Urban,Arrested,No,None,High,Iron Rod
71,35,Omya Datta,Black,Female,25,1991-01-27,9911917079,278087613214,Shop Keeper,"50/54, Kala Street, Shivpuri 322141",5,Bengaluru Urban,Surrendered,Yes,None,Medium,Stick
72,36,Om Deep,King,Male,68,1987-03-19,9897859126,165669371027,Security Guard,"927, Roy Nagar, Patiala-947383",5,Bengaluru Urban,Arrested,No,None,Medium,Stick
73,36,Wahab Hari,Boss,Male,40,1975-01-20,9874290873,375307400703,Teacher,"H.No. 68, Sahota Circle, Kollam-407581",5,Bengaluru Urban,Arrested,No,None,Low,None
74,36,Meghana Chacko,Rocky,Female,53,1996-01-02,9909241640,615372780181,Private Employee,"26/13, Palla Chowk, Vijayanagaram 685361",5,Bengaluru Urban,Arrested,Yes,None,High,Hands
75,36,Jasmit Bala,Ranga,Female,57,1972-06-12,9905386872,601131654131,Lawyer,"204, Dewan Chowk, Sultan Pur Majra 104328",5,Bengaluru Urban,Surrendered,No,None,Low,None
76,37,Christopher Mani,Bullet,Male,29,1968-02-25,9898689413,564474157202,Electrician,"697, Choudhry Zila, Kavali 893246",20,Koppal,Arrested,Yes,Local Gang,Medium,Stone
77,37,Patrick Khosla,Don,Male,35,1985-10-20,9985957742,476280280818,Teacher,"51/88, Tripathi Circle, Pali-065405",20,Koppal,Arrested,No,Local Gang,Medium,Firearm
78,37,Orinder Khosla,Silent,Male,68,1994-05-28,9888855519,259598174026,Labourer,"058, Gill Path, Nangloi Jat 217043",20,Koppal,Arrested,No,Organized Crime,Medium,Hands
79,37,Irya Barman,Rowdy,Female,27,1972-04-13,9916630774,768445880966,Doctor,"74/03, Parikh Road, Bathinda 156676",20,Koppal,Arrested,Yes,None,Low,Iron Rod
80,38,Idika Taneja,Rowdy,Female,36,1992-03-27,9895187870,680914949983,Teacher,"H.No. 616, Gole, Pondicherry 154479",19,Kolar,Arrested,No,None,Low,Hands
81,39,Fiyaz Sawhney,Boss,Male,43,1974-03-10,9963626704,126068941037,Mechanic,"64/01, Patla Marg, Ludhiana 970213",7,Chamarajanagar,Arrested,Yes,None,High,Iron Rod
82,40,Pratyush Rajagopal,Don,Male,22,2005-11-17,9915613279,642811734726,Lawyer,"75/571, Devan, Sikar 431027",7,Chamarajanagar,Absconding,No,Local Gang,Medium,Hands
83,41,Daniel Lala,Cobra,Male,51,1996-08-18,9915720894,145599918536,Software Engineer,"47/31, Borah Street, Malegaon-155188",3,Belagavi,Surrendered,No,None,Low,Knife
84,41,Mason Dugar,Bullet,Male,21,1993-04-13,9983277446,510099135766,Shop Keeper,"31/32, Tak Ganj, Karimnagar-782911",3,Belagavi,Absconding,No,None,Low,Sharp Weapon
85,41,Rushil Srinivas,Cobra,Male,47,1983-06-02,9916377177,195771172870,Engineer,"517, Varughese Chowk, Warangal-268018",3,Belagavi,Arrested,No,Drug Network,Medium,Iron Rod
86,41,Nidra Gala,Silent,Female,50,1964-02-21,9890811786,170800391908,Doctor,"41/43, Maharaj Circle, Avadi-829922",3,Belagavi,Arrested,No,None,Medium,Firearm
87,42,Ansh Balakrishnan,Shadow,Male,54,1959-11-11,9891602504,887304327723,Mechanic,"69/07, Mann Circle, Karawal Nagar 647102",14,Gadag,Absconding,No,None,Medium,Stone
88,43,Sarthak Sule,King,Male,44,1980-03-04,9872388906,871524097098,Unemployed,"H.No. 55, De Marg, Kottayam 537147",13,Dharwad,Surrendered,No,Local Gang,Medium,Stick
89,44,Ekavir Chatterjee,Rocky,Male,58,1958-03-28,9983506128,938342917114,Doctor,"259, Gupta Path, Panchkula-747016",1,Bagalkote,Arrested,No,None,Low,None
90,44,Jai Kale,Boss,Male,23,1986-06-22,9888376281,793028198550,Mechanic,"H.No. 79, Mangal Chowk, Moradabad 245650",1,Bagalkote,Arrested,No,Organized Crime,High,Knife
91,45,Atharv Hayer,Black,Male,70,1974-10-09,9903665280,094198304158,Doctor,"87, Mammen Circle, Warangal 655852",27,Udupi,Arrested,No,None,High,Stick
92,45,Yashoda Ratti,Shadow,Female,46,1982-01-23,9880622450,211856879735,Cook,"578, Dixit Chowk, Khammam 269495",27,Udupi,Arrested,No,None,Low,Firearm
93,45,Mason Soman,Rowdy,Male,19,1998-10-17,9987095799,162890928738,Security Guard,"16/940, Som, Adoni 097289",27,Udupi,Arrested,Yes,Local Gang,Low,Firearm
94,45,Ethan Kibe,Cobra,Male,63,1957-03-25,9963519889,510060436831,Electrician,"H.No. 756, Sachar Street, Bulandshahr 028385",27,Udupi,Arrested,No,None,High,Knife
95,46,Zansi Puri,Silent,Female,22,1972-03-08,9897653397,464375863683,Labourer,"58/54, Sule, Shahjahanpur-843443",22,Mysuru,Arrested,No,Cyber Group,High,Hands
96,47,Nathan Srinivasan,Rocky,Male,29,1974-01-16,9913866143,033698673026,Teacher,"H.No. 986, Pai Marg, Ramagundam 415747",18,Kodagu,Arrested,Yes,None,Medium,Knife
97,47,Isha Yohannan,Rocky,Female,49,1969-12-04,9903387572,470021381099,Teacher,"H.No. 993, Bedi Ganj, Muzaffarpur 165712",18,Kodagu,Absconding,No,None,High,Hands
98,48,Gaurangi Ray,Anna,Female,28,1990-02-28,9871216772,220581342661,Labourer,"34/540, Kata Zila, Akola-206724",5,Bengaluru Urban,Absconding,Yes,None,Low,None
99,48,Aarna Misra,Anna,Female,49,1985-08-29,9962633310,428516068472,Engineer,"H.No. 78, Tak Circle, Dibrugarh 431527",5,Bengaluru Urban,Absconding,No,None,High,Stick
100,48,Girik Atwal,Ranga,Male,48,1994-08-07,9890975986,617199814949,Driver,"966, Narang Circle, Rewa 227530",5,Bengaluru Urban,Arrested,Yes,Local Gang,High,Firearm
101,48,Sanaya Keer,Lucky,Female,53,1979-03-27,9905859075,711559117788,Doctor,"H.No. 99, Lal Nagar, Noida 174268",5,Bengaluru Urban,Arrested,No,None,Low,Hands
102,49,Dhriti Merchant,Shadow,Female,27,1975-01-14,9916608327,980832460819,Journalist,"727, Prakash, Jamalpur-833918",7,Chamarajanagar,Arrested,No,None,Low,Hands
103,49,Pratyush Brahmbhatt,Bullet,Male,70,2004-03-03,9907788513,518801882497,Business,"83/98, Gala Street, Saharsa 139718",7,Chamarajanagar,Arrested,No,Cyber Group,Medium,Stick
104,50,Baghyawati Setty,Rowdy,Female,49,1962-07-20,9914945382,800087222265,Cook,"08/74, Randhawa Nagar, Delhi-910651",5,Bengaluru Urban,Absconding,No,Cyber Group,Medium,Knife
105,50,Bakhshi Sodhi,Bullet,Male,32,1957-03-28,9896977288,423565099855,Doctor,"656, Purohit Chowk, Jodhpur-512868",5,Bengaluru Urban,Arrested,Yes,Drug Network,Medium,Knife
106,50,Jasmit Aggarwal,Rowdy,Female,59,1995-08-20,9969615208,843104294759,Government Employee,"86/863, Sharma Ganj, Bhatpara 310690",5,Bengaluru Urban,Absconding,Yes,None,Medium,Iron Rod
107,50,Ishanvi Bhavsar,Boss,Female,28,1960-11-26,9986524775,998622848354,Software Engineer,"03/06, Kaur Chowk, Pimpri-Chinchwad 843959",5,Bengaluru Urban,Surrendered,No,Cyber Group,Low,Hands
108,51,Jagat Mittal,Cobra,Male,61,2001-12-31,9905481939,891810393042,Cook,"H.No. 40, Gill Circle, Miryalaguda-056856",11,Dakshina Kannada,Absconding,Yes,Local Gang,Low,Hands
109,52,Falguni Mital,Rowdy,Female,58,1975-07-05,9904930130,381662631351,Shop Keeper,"427, Sachar Nagar, Proddatur-634351",28,Uttara Kannada,Surrendered,Yes,None,Medium,Stick
110,52,Qasim Chanda,Ranga,Male,39,1983-12-12,9903199427,175136082509,Electrician,"H.No. 69, Baral, Maheshtala-735403",28,Uttara Kannada,Absconding,Yes,None,Low,Knife
111,52,Dhriti Srinivas,Don,Female,48,2004-01-09,9961663662,618171111125,Engineer,"854, Shukla Marg, Aizawl-587717",28,Uttara Kannada,Arrested,No,None,High,Knife
112,52,Ishani Prabhakar,Ranga,Female,33,1972-02-21,9870015497,079649208883,Mechanic,"20/489, Sahni, Jamnagar 536937",28,Uttara Kannada,Absconding,No,Local Gang,Low,Knife
113,53,Kabir Suresh,Boss,Male,39,2006-10-13,9898927331,448644811798,Labourer,"522, Suresh Circle, Hosur-801006",23,Raichur,Arrested,No,None,Low,Sharp Weapon
114,53,Kala Bir,Silent,Female,57,1993-01-14,9878878448,406085772985,Labourer,"75/09, Subramanian, Pune 886008",23,Raichur,Arrested,No,None,Low,Hands
115,53,Luke Badal,Boss,Male,70,1982-03-05,9918609544,173325538045,Electrician,"H.No. 182, Handa Ganj, Raichur-615679",23,Raichur,Arrested,No,None,Medium,Knife
116,53,Jeevika Mital,Boss,Female,44,1991-10-24,9875006635,269302456467,Lawyer,"H.No. 666, Soni Circle, Bangalore 176591",23,Raichur,Absconding,Yes,None,Medium,Knife
117,54,Jyoti Kakar,Shadow,Female,62,2003-04-29,9870117716,193477149857,Farmer,"H.No. 148, Bali, Satna-392614",19,Kolar,Arrested,No,Drug Network,Low,Hands
118,55,Kavya Ramachandran,Tiger,Female,55,1991-06-10,9909796181,663846623328,Private Employee,"21/850, Sarkar Zila, Aurangabad 999650",5,Bengaluru Urban,Absconding,No,None,Medium,Stone
119,55,Umang Swaminathan,Rowdy,Male,30,1967-08-25,9886236969,563134564782,Farmer,"961, Merchant, Srinagar-426265",5,Bengaluru Urban,Arrested,No,None,Low,Knife
120,56,Chatresh Chand,Silent,Male,35,1955-10-31,9987961072,534665263576,Private Employee,"H.No. 41, Chahal Street, Chinsurah 888610",28,Uttara Kannada,Surrendered,No,Drug Network,High,Stick
121,57,Peter Chander,Black,Male,18,1987-03-12,9962678897,675679216115,Student,"H.No. 466, Kibe Zila, Nadiad 244472",13,Dharwad,Arrested,Yes,None,High,Iron Rod
122,57,Geetika Saran,Rocky,Female,47,1970-03-08,9969095768,375075957154,Cook,"H.No. 543, Hayre Chowk, Aligarh 406596",13,Dharwad,Arrested,Yes,None,Low,Firearm
123,58,Urvi Natt,King,Female,53,1978-05-19,9987613269,208371270575,Electrician,"H.No. 93, Murthy Chowk, Sikar-479356",17,Kalaburagi,Arrested,No,None,Medium,Sharp Weapon
124,58,Ronith Patla,Tiger,Male,67,1961-08-04,9915626268,288748060700,Labourer,"80/737, Biswas Road, Panchkula-434266",17,Kalaburagi,Arrested,No,None,Low,Hands
125,58,Vanya Srinivas,Shadow,Female,58,1986-06-01,9904065667,570917307436,Lawyer,"H.No. 89, Chopra Zila, Raichur-909656",17,Kalaburagi,Arrested,Yes,Local Gang,High,Stone
126,58,Abdul Chaudhari,Tiger,Male,37,1969-04-08,9968986908,105350277298,Security Guard,"H.No. 67, Tella, Hapur-714611",17,Kalaburagi,Arrested,Yes,None,Low,Sharp Weapon
127,59,Owen Muni,Rocky,Male,66,1973-09-27,9914520074,316169346355,Shop Keeper,"H.No. 71, Sethi Chowk, Jabalpur-010512",22,Mysuru,Surrendered,No,None,Medium,Knife
128,59,Yauvani Ghosh,Rowdy,Female,41,1984-10-22,9886344741,602881767886,Sales Executive,"36, Grewal Street, Tenali 937966",22,Mysuru,Arrested,No,Cyber Group,Medium,Hands
129,60,Jalsa Jha,Rowdy,Female,59,1970-04-23,9981385815,030299671155,Engineer,"25/53, Comar Chowk, Unnao 969691",2,Ballari,Absconding,No,None,Low,Hands
130,61,Patrick Shankar,Ranga,Male,22,1988-04-11,9893029344,093758825163,Labourer,"25/134, Goswami Zila, Ajmer 692966",4,Bengaluru Rural,Arrested,No,Drug Network,Low,Iron Rod
131,62,Widisha Yogi,Master,Female,70,1992-04-23,9983780842,521168643164,Teacher,"42, Murty Street, Udupi-507236",22,Mysuru,Absconding,Yes,None,Medium,Knife
132,62,Samarth Swamy,Cobra,Male,58,1977-08-02,9910502195,507620498186,Private Employee,"190, Master Ganj, Panipat-842797",22,Mysuru,Absconding,No,None,Low,Hands
133,63,Deepa Loyal,Anna,Female,56,1996-08-21,9910310596,861958570695,Farmer,"78/361, Mishra Ganj, Hospet 517133",30,Vijayapura,Absconding,No,None,Low,Hands
134,63,Upadhriti Gandhi,King,Female,32,1988-03-19,9984738985,427905520705,Mechanic,"H.No. 958, Yohannan Road, North Dumdum-494812",30,Vijayapura,Absconding,Yes,None,Low,Hands
135,64,Bhanumati Malhotra,Silent,Female,59,2001-07-06,9912843267,474352337786,Private Employee,"253, Suri Marg, Gangtok-667116",5,Bengaluru Urban,Absconding,Yes,None,Medium,None
136,64,Qarin Sha,Shadow,Male,28,2005-12-02,9909001940,200396575986,Cook,"17/518, Kamdar Marg, Rajpur Sonarpur 454589",5,Bengaluru Urban,Surrendered,Yes,None,Low,None
137,64,Xavier Oza,Don,Male,57,2002-12-12,9886369023,642079575538,Shop Keeper,"H.No. 701, Sastry Street, Mumbai 324241",5,Bengaluru Urban,Arrested,No,None,Low,None
138,64,Jeremiah Butala,Black,Male,53,1975-04-07,9875315257,243423768842,Government Employee,"43, Chand Marg, Mumbai-712938",5,Bengaluru Urban,Surrendered,No,None,Low,Hands
139,65,Aayush Anand,Rowdy,Male,62,1992-06-04,9982237351,325179172222,Engineer,"27/136, Chaudry Zila, Satara 426221",21,Mandya,Absconding,Yes,None,High,Knife
140,65,Fitan Sarraf,Black,Male,66,1974-03-03,9985046498,849922507455,Private Employee,"97, Chadha Ganj, Kolhapur-965652",21,Mandya,Absconding,No,None,Medium,Stick
141,66,Lakshit Chad,Don,Male,18,1968-09-16,9962536252,463427382115,Software Engineer,"43/898, Ramanathan Ganj, Meerut 761379",28,Uttara Kannada,Absconding,No,None,High,Sharp Weapon
142,66,Abeer Patel,Rocky,Male,69,2005-01-20,9961814985,773553608464,Shop Keeper,"65/82, Bora Chowk, Dharmavaram-043006",28,Uttara Kannada,Arrested,Yes,Organized Crime,Low,Hands
143,67,Zashil Sagar,Master,Male,40,1978-01-02,9986656592,357406498694,Private Employee,"88/924, Mukherjee Zila, Sasaram-285691",26,Tumakuru,Absconding,No,None,Low,Knife
144,68,Urmi Khare,Shadow,Female,63,1958-08-17,9896387975,418122772309,Doctor,"H.No. 799, More Nagar, Jamshedpur 202758",15,Hassan,Arrested,No,Local Gang,Low,Stick
145,69,Fiyaz Prabhu,Master,Male,23,1962-04-14,9969327415,103984895195,Sales Executive,"H.No. 564, Bhatt Circle, Gangtok 778507",22,Mysuru,Absconding,No,None,Medium,Hands
