VictimID,CaseMasterID,FullName,Gender,Age,DOB,MobileNumber,AadhaarNumber,Occupation,Address,DistrictID,DistrictName,InjuryType,InjurySeverity,Hospitalized,VictimStatus,StatementRecorded
14,10,Shaurya Virk,Male,71,1967-06-14,9871464022,802275811212,Farmer,"53/462, Shankar Road, Srinagar 799118",20,Koppal,Minor Injury,Low,Yes,Alive,No
15,10,Yashica Lanka,Female,57,1951-10-26,9874342545,876026850785,Lawyer,"542, Mittal Chowk, Begusarai 124118",20,Koppal,Fatal Injury,Critical,No,Deceased,No
16,11,Madhavi Manda,Female,24,1991-12-20,9914894431,144647002178,Student,"48/740, Sampath Zila, Varanasi 524278",1,Bagalkote,Fatal Injury,Critical,No,Deceased,No
17,12,Aayush Choudhury,Male,25,1946-12-15,9913767259,461962155099,Software Engineer,"H.No. 98, Sani Street, Kalyan-Dombivli-505331",19,Kolar,Major Injury,High,Yes,Alive,No
18,13,Tanvi Dubey,Female,66,2019-04-01,9962892539,588274958225,Shop Keeper,"602, Sabharwal Path, Shimoga-160733",29,Vijayanagara,No Physical Injury,Medium,Yes,Alive,No
19,13,Pushti Mody,Female,45,2010-04-21,9895543165,270778368940,Journalist,"H.No. 365, Boase Road, Etawah-850142",29,Vijayanagara,Major Injury,High,No,Alive,Yes
20,14,Anjali Chopra,Female,13,1991-04-08,9919018907,263036596845,Driver,"98, Rajan Zila, Rohtak 608835",3,Belagavi,Major Injury,High,No,Alive,Yes
21,14,Bakhshi Narayanan,Male,56,1993-07-11,9877711203,034246116364,Driver,"46/56, Datta Road, Bidar 299468",3,Belagavi,Major Injury,High,No,Alive,No
22,15,Nidra Mangat,Female,33,1958-06-04,9960896143,564281342559,Private Employee,"73, Solanki Circle, Guwahati 895134",12,Davanagere,Minor Injury,Low,No,Alive,Yes
23,16,Hardik Din,Male,78,1942-08-20,9964927636,667686963457,Mechanic,"17/69, Rajagopalan Ganj, Silchar-201632",4,Bengaluru Rural,Minor Injury,Low,No,Alive,No
24,16,Aryan Krish,Male,26,2018-07-17,9887835219,992884072663,Nurse,"788, Nadig, Pudukkottai 872774",4,Bengaluru Rural,Fatal Injury,Critical,No,Deceased,Yes
25,17,Manya Verma,Female,2,1981-09-30,9895466589,120859208934,Farmer,"14, Magar Ganj, Imphal-223623",25,Shivamogga,Minor Injury,Low,No,Alive,No
26,17,Sarthak Reddy,Male,13,1968-09-06,9888146794,714044903498,Government Employee,"H.No. 366, Bahri, Morena-546688",25,Shivamogga,Minor Injury,Low,No,Alive,Yes
27,18,Widisha Kanda,Female,36,1963-10-04,9889980269,039728558277,Electrician,"56, Sibal Street, Deoghar-699016",24,Ramanagara,Major Injury,High,Yes,Alive,Yes
28,19,Vedhika Gopal,Female,23,1944-10-31,9876007231,075747515907,Engineer,"755, Mall Marg, Nizamabad-708053",5,Bengaluru Urban,No Physical Injury,Medium,No,Alive,No
29,20,Anmol Balasubramanian,Male,8,2021-04-10,9908417483,116573525471,Nurse,"23/27, Kamdar Zila, Bardhaman-299124",30,Vijayapura,Major Injury,High,Yes,Alive,No
30,21,Amara Muni,Female,30,1989-07-02,9903440463,190800785553,Government Employee,"31/931, Dara Road, Sri Ganganagar-518506",23,Raichur,Minor Injury,Low,No,Alive,Yes
31,22,Damyanti Sant,Female,77,2022-03-23,9893526218,375889866098,Lawyer,"28, Yohannan Road, Kirari Suleman Nagar-945314",4,Bengaluru Rural,Minor Injury,Low,No,Alive,No
32,23,Keya Shetty,Female,45,1988-12-29,9871160790,534133958170,Labourer,"H.No. 752, Kala Chowk, Rampur-494808",21,Mandya,Minor Injury,Low,No,Alive,No
33,23,Chaman Khurana,Female,54,2001-10-06,9892531655,329029772144,Nurse,"77/701, Kant Road, Latur-957885",21,Mandya,Minor Injury,Low,Yes,Alive,No
34,24,Noah Pandey,Male,51,2000-04-19,9987440344,624919463414,Teacher,"H.No. 31, Mutti Ganj, Jorhat 337498",26,Tumakuru,Minor Injury,Low,No,Alive,No
35,24,Daksha Hari,Female,29,1965-09-27,9897065173,961121170964,Journalist,"H.No. 08, Mahal Street, Meerut 271094",26,Tumakuru,Major Injury,High,No,Alive,No
36,25,Wakeeta Sastry,Female,20,1969-07-08,9900432053,408088654578,Journalist,"11, Swamy Marg, Gangtok 229413",26,Tumakuru,Minor Injury,Low,Yes,Alive,No
37,25,Turvi Kara,Female,65,2006-06-29,9889488906,079563937606,Housewife,"49, Mody Marg, Phagwara-334123",26,Tumakuru,Minor Injury,Low,Yes,Alive,No
38,26,Bishakha Dugar,Female,33,1940-10-14,9968961069,366170563179,Engineer,"H.No. 03, Mandal Road, Madurai-493618",25,Shivamogga,No Physical Injury,Medium,Yes,Alive,No
39,27,Falguni Lata,Female,3,2010-10-27,9893937191,275575686511,Lawyer,"499, Sarna Road, Bhind 648877",8,Chikkaballapur,Major Injury,High,No,Alive,Yes
40,28,Anusha Sankaran,Female,47,2002-12-29,9967967722,979165477541,Doctor,"H.No. 399, Luthra Nagar, Akola 874296",12,Davanagere,Minor Injury,Low,No,Alive,Yes
41,29,Chandani Singhal,Female,48,1970-02-18,9919751014,580988943330,Housewife,"12/567, Rattan Road, Malda 545168",23,Raichur,Minor Injury,Low,Yes,Alive,No
42,29,Vihaan Sachdev,Male,18,1945-03-01,9872861740,028575123047,Software Engineer,"70/348, Mani Street, Shivpuri 093248",23,Raichur,Major Injury,High,No,Alive,Yes
43,30,Samar Chander,Male,19,1959-08-29,9894624609,055953469207,Software Engineer,"H.No. 274, Mahajan Circle, Karawal Nagar 378263",16,Haveri,Minor Injury,Low,No,Alive,Yes
44,31,Bakhshi Majumdar,Male,46,2006-03-27,9913686941,179027833384,Business,"40/44, Suri, Amroha-558867",26,Tumakuru,Minor Injury,Low,No,Alive,No
45,32,Girindra Khare,Male,84,1989-02-28,9892744493,163720449121,Mechanic,"H.No. 576, Doshi Marg, Vadodara-895171",22,Mysuru,Minor Injury,Low,No,Alive,No
46,33,Advika Dhawan,Female,22,1975-05-29,9964479646,706457108641,Government Employee,"45, Rao, Ozhukarai-578091",29,Vijayanagara,Minor Injury,Low,No,Alive,No
47,33,Maanas Karan,Male,78,2004-01-13,9886937553,621743522492,Shop Keeper,"17/240, Nair Nagar, Durg-562386",29,Vijayanagara,No Physical Injury,Medium,Yes,Alive,Yes
48,34,Frederick Gill,Male,10,1947-04-09,9901798996,752217713297,Shop Keeper,"92, Shenoy Ganj, Jaunpur-074821",24,Ramanagara,Minor Injury,Low,Yes,Alive,No
49,34,Pooja Mistry,Female,60,1994-11-13,9989180374,445130451855,Doctor,"43, Subramanian Marg, Patiala-959440",24,Ramanagara,Fatal Injury,Critical,No,Deceased,Yes
50,35,Laksh Anand,Male,67,1988-08-29,9883192952,019266065516,Housewife,"H.No. 39, Kanda Path, Udupi 210470",5,Bengaluru Urban,No Physical Injury,Medium,Yes,Alive,Yes
51,36,Dominic Chana,Male,6,2017-11-16,9967225608,563284461443,Housewife,"328, Wali Path, Dehradun 745171",5,Bengaluru Urban,Minor Injury,Low,No,Alive,No
52,36,Isaiah Ranganathan,Male,48,2022-10-10,9915342202,362813537454,Student,"04, Dasgupta Circle, Arrah 965137",5,Bengaluru Urban,Minor Injury,Low,Yes,Alive,No
53,37,Omisha Kant,Female,31,1995-08-11,9885025862,011234005323,Nurse,"61/200, Tailor Road, Jalandhar-826758",20,Koppal,Major Injury,High,No,Alive,Yes
54,37,Faras Sachdeva,Male,13,1996-03-23,9903953164,007851819336,Journalist,"H.No. 05, Sawhney Ganj, Noida-158506",20,Koppal,Fatal Injury,Critical,No,Deceased,No
55,38,Ikshita Das,Female,61,2021-03-22,9980314388,652695204577,Driver,"39/005, Dass Ganj, Coimbatore-933529",19,Kolar,Minor Injury,Low,Yes,Alive,Yes
56,39,Lakshit Dhillon,Male,3,2024-06-30,9903164798,701236531933,Electrician,"H.No. 020, Khanna Path, Pune 402681",7,Chamarajanagar,Fatal Injury,Critical,No,Deceased,Yes
57,40,Wazir Sen,Male,36,2006-09-09,9912997764,459725583371,Teacher,"39/08, Shanker Road, Ghaziabad 661771",7,Chamarajanagar,Minor Injury,Low,No,Alive,No
58,41,Oeshi Divan,Female,62,1946-02-21,9882596165,265604717059,Shop Keeper,"98, Setty Road, Navi Mumbai 836736",3,Belagavi,Minor Injury,Low,No,Alive,Yes
59,41,Vasana Rastogi,Female,42,1975-12-01,9896905579,918199349998,Journalist,"54, Dua Path, Jabalpur 116152",3,Belagavi,Minor Injury,Low,Yes,Alive,No
60,42,Omya Das,Female,59,1975-06-23,9965498411,142177571888,Teacher,"H.No. 94, Chawla Path, Bhatpara-315851",14,Gadag,Major Injury,High,No,Alive,Yes
61,43,Isaiah Sanghvi,Male,18,2012-05-24,9903222793,706601345873,Mechanic,"H.No. 244, Panchal Path, Bokaro 961201",13,Dharwad,Minor Injury,Low,No,Alive,Yes
62,44,Raghav Saini,Male,18,1979-02-12,9901764545,622780470505,Journalist,"H.No. 59, Chad, Bhatpara-901476",1,Bagalkote,Major Injury,High,Yes,Alive,Yes
63,45,Vaishnavi Sachdeva,Female,67,1963-10-11,9901250584,540487387503,Farmer,"14, Sur, Ranchi 690034",27,Udupi,Minor Injury,Low,Yes,Alive,No
64,45,Ekapad Kumer,Male,37,1965-02-28,9901167938,493098181931,Student,"62, Rai Street, Orai 160607",27,Udupi,No Physical Injury,Medium,Yes,Alive,No
65,46,Nirja Sanghvi,Female,70,1989-04-18,9905823297,184780210570,Private Employee,"H.No. 605, Sharma Street, Hubli–Dharwad-136968",22,Mysuru,Major Injury,High,No,Alive,Yes
66,47,Rudra Mukherjee,Male,8,2003-12-14,9885287356,331623098964,Government Employee,"181, Uppal Circle, Karnal-231243",18,Kodagu,Major Injury,High,No,Alive,No
67,47,Ganga Borra,Female,53,1955-08-13,9882152281,404453230435,Farmer,"97/99, Mutti Path, Gandhidham-774490",18,Kodagu,Fatal Injury,Critical,No,Deceased,No
68,48,Zehaan Borah,Male,10,1966-12-10,9888562293,921777967323,Labourer,"H.No. 541, Tripathi Zila, Surendranagar Dudhrej-793597",5,Bengaluru Urban,Minor Injury,Low,No,Alive,No
69,48,Bhavani Seshadri,Female,47,1949-05-10,9918487732,308705572125,Nurse,"20/37, Viswanathan Chowk, Bharatpur 466590",5,Bengaluru Urban,Minor Injury,Low,No,Alive,No
70,49,Bhavini Narayan,Female,83,1948-08-04,9964171749,560089674827,Engineer,"H.No. 92, Bumb Path, Etawah-629148",7,Chamarajanagar,Minor Injury,Low,No,Alive,No
71,50,Nitesh Datta,Male,80,1997-07-08,9966644050,529086891011,Government Employee,"50/54, Kala Street, Shivpuri 322141",5,Bengaluru Urban,Major Injury,High,No,Alive,No
72,50,Om Deep,Male,48,1991-04-29,9904262809,604346708639,Engineer,"927, Roy Nagar, Patiala-947383",5,Bengaluru Urban,No Physical Injury,Medium,Yes,Alive,Yes
73,51,Wahab Hari,Male,73,1971-10-28,9902962561,802188925586,Private Employee,"H.No. 68, Sahota Circle, Kollam-407581",11,Dakshina Kannada,Major Injury,High,Yes,Alive,Yes
74,52,Meghana Chacko,Female,7,2005-06-03,9874837937,029439466067,Teacher,"26/13, Palla Chowk, Vijayanagaram 685361",28,Uttara Kannada,Major Injury,High,No,Alive,Yes
75,52,Jasmit Bala,Female,82,1967-08-24,9887310332,114540305332,Teacher,"204, Dewan Chowk, Sultan Pur Majra 104328",28,Uttara Kannada,Minor Injury,Low,Yes,Alive,Yes
76,53,Dayamai Mani,Female,22,1960-10-03,9882211227,397464103838,Retired,"697, Choudhry Zila, Kavali 893246",23,Raichur,Minor Injury,Low,Yes,Alive,No
77,53,Qushi Khosla,Female,78,1989-01-23,9962399264,523831555659,Business,"51/88, Tripathi Circle, Pali-065405",23,Raichur,Major Injury,High,No,Alive,No
78,54,Orinder Khosla,Male,53,2002-11-09,9964626770,944596573856,Driver,"058, Gill Path, Nangloi Jat 217043",19,Kolar,Minor Injury,Low,No,Alive,Yes
79,55,Harish Barman,Male,73,1967-05-20,9966379402,555543755301,Teacher,"74/03, Parikh Road, Bathinda 156676",5,Bengaluru Urban,Minor Injury,Low,Yes,Alive,Yes
80,55,Idika Taneja,Female,40,1999-05-20,9894244463,381866192115,Driver,"H.No. 616, Gole, Pondicherry 154479",5,Bengaluru Urban,No Physical Injury,Medium,No,Alive,Yes
81,56,Fiyaz Sawhney,Male,82,1970-06-10,9964061537,278018134285,Private Employee,"64/01, Patla Marg, Ludhiana 970213",28,Uttara Kannada,Major Injury,High,No,Alive,Yes
82,57,Radhika Rajagopal,Female,46,2021-04-06,9984168956,321313554459,Lawyer,"75/571, Devan, Sikar 431027",13,Dharwad,No Physical Injury,Medium,Yes,Alive,No
83,57,Dhriti Lala,Female,18,2006-06-06,9883403018,954648400722,Lawyer,"47/31, Borah Street, Malegaon-155188",13,Dharwad,Major Injury,High,No,Alive,No
84,58,Mason Dugar,Male,74,2001-01-22,9872595774,247628028081,Business,"31/32, Tak Ganj, Karimnagar-782911",17,Kalaburagi,Fatal Injury,Critical,No,Deceased,No
85,58,Rushil Srinivas,Male,79,1985-03-29,9887885551,925959817402,Doctor,"517, Varughese Chowk, Warangal-268018",17,Kalaburagi,Major Injury,High,Yes,Alive,Yes
86,59,Nidra Gala,Female,32,1954-04-29,9988316630,774768445880,Government Employee,"41/43, Maharaj Circle, Avadi-829922",22,Mysuru,No Physical Injury,Medium,Yes,Alive,No
87,59,Ansh Balakrishnan,Male,55,1947-06-18,9982283554,360074184092,Doctor,"69/07, Mann Circle, Karawal Nagar 647102",22,Mysuru,Major Injury,High,No,Alive,Yes
88,60,Triya Sule,Female,12,1980-01-14,9963066067,740020554031,Doctor,"H.No. 55, De Marg, Kottayam 537147",2,Ballari,No Physical Injury,Medium,No,Alive,Yes
89,61,Ekavir Chatterjee,Male,50,1944-11-10,9877138177,191506476146,Teacher,"259, Gupta Path, Panchkula-747016",4,Bengaluru Rural,No Physical Injury,Medium,Yes,Alive,Yes
90,62,Jai Kale,Male,76,1990-02-21,9963931205,667686355720,Driver,"H.No. 79, Mangal Chowk, Moradabad 245650",22,Mysuru,No Physical Injury,Medium,No,Alive,No
91,63,Atharv Hayer,Male,31,1971-05-16,9906080333,845149050299,Mechanic,"87, Mammen Circle, Warangal 655852",30,Vijayapura,Minor Injury,Low,No,Alive,No
92,64,Yashoda Ratti,Female,11,1983-01-24,9965623528,536860678004,Farmer,"578, Dixit Chowk, Khammam 269495",5,Bengaluru Urban,Major Injury,High,No,Alive,Yes
93,64,Mason Soman,Male,2,2009-11-23,9961043582,378718345296,Engineer,"16/940, Som, Adoni 097289",5,Bengaluru Urban,Major Injury,High,No,Alive,Yes
94,65,Falak Kibe,Female,73,1943-03-30,9883215725,082431985974,Retired,"H.No. 756, Sachar Street, Bulandshahr 028385",21,Mandya,Minor Injury,Low,No,Alive,No
95,66,Raghav Murthy,Male,74,2021-11-16,9891602504,887304327723,Business,"54/97, Koshy Ganj, Proddatur-344375",28,Uttara Kannada,No Physical Injury,Medium,Yes,Alive,Yes
96,67,Owen Mahal,Male,53,1965-01-07,9872388906,871524097098,Government Employee,"H.No. 24, Mani Nagar, Sri Ganganagar-473384",26,Tumakuru,Major Injury,High,No,Alive,Yes
97,68,Ekapad Chopra,Male,65,1992-11-21,9886350612,893834291711,Housewife,"H.No. 833, Chaudhry Nagar, Bathinda-120826",15,Hassan,Minor Injury,Low,No,Alive,Yes
98,69,Waida Iyengar,Female,27,2004-10-23,9903211686,083023562904,Nurse,"H.No. 01, Kata, Akola 206724",22,Mysuru,Major Injury,High,Yes,Alive,Yes
99,70,Aarna Misra,Female,14,1988-10-31,9987107214,690590916808,Software Engineer,"H.No. 78, Tak Circle, Dibrugarh 431527",26,Tumakuru,Fatal Injury,Critical,Yes,Deceased,No
100,71,Girik Atwal,Male,22,2003-03-04,9914743439,241666484034,Engineer,"966, Narang Circle, Rewa 227530",5,Bengaluru Urban,Major Injury,High,Yes,Alive,Yes
101,71,Sanaya Keer,Female,46,1978-07-13,9905495313,287095799162,Farmer,"H.No. 99, Lal Nagar, Noida 174268",5,Bengaluru Urban,Fatal Injury,Critical,Yes,Deceased,No
102,72,Dhriti Merchant,Female,23,1971-10-19,9882373573,519889510060,Housewife,"727, Prakash, Jamalpur-833918",6,Bidar,Major Injury,High,Yes,Alive,Yes
103,72,Zarna Pathak,Female,23,1947-03-13,9988305978,893931311979,Lawyer,"83/98, Gala Street, Saharsa 139718",6,Bidar,Major Injury,High,No,Alive,Yes
104,73,Ayaan Setty,Male,49,1951-10-10,9897210758,751386614303,Teacher,"08/74, Randhawa Nagar, Delhi-910651",26,Tumakuru,Minor Injury,Low,No,Alive,No
105,74,Bakhshi Sodhi,Male,34,1943-04-04,9882021037,984351486610,Mechanic,"656, Purohit Chowk, Jodhpur-512868",11,Dakshina Kannada,Fatal Injury,Critical,Yes,Deceased,No
106,74,Jasmit Aggarwal,Female,14,2004-10-31,9873810993,987466403945,Nurse,"86/863, Sharma Ganj, Bhatpara 310690",11,Dakshina Kannada,No Physical Injury,Medium,No,Alive,No
107,75,Ishanvi Bhavsar,Female,31,1949-02-18,9870581342,661012083346,Nurse,"03/06, Kaur Chowk, Pimpri-Chinchwad 843959",16,Haveri,Minor Injury,Low,No,Alive,Yes
108,76,Kashish Mittal,Female,49,2015-01-15,9891042851,606847203596,Journalist,"H.No. 40, Gill Circle, Miryalaguda-056856",30,Vijayapura,No Physical Injury,Medium,Yes,Alive,No
109,77,Falguni Mital,Female,11,1972-07-22,9909759866,171998149496,Electrician,"427, Sachar Nagar, Proddatur-634351",9,Chikkamagaluru,Fatal Injury,Critical,No,Deceased,Yes
110,78,Qasim Chanda,Male,50,1986-02-01,9913324876,544157995125,Retired,"H.No. 69, Baral, Maheshtala-735403",22,Mysuru,Minor Injury,Low,No,Alive,No
111,79,Dhriti Srinivas,Female,74,2018-04-14,9914146643,860423373886,Driver,"854, Shukla Marg, Aizawl-587717",5,Bengaluru Urban,No Physical Injury,Medium,Yes,Alive,No
112,79,Ishani Prabhakar,Female,42,1967-02-26,9897604944,530707475518,Farmer,"20/489, Sahni, Jamnagar 536937",5,Bengaluru Urban,Minor Injury,Low,Yes,Alive,Yes
113,80,Lavanya Suresh,Female,7,2022-09-17,9897285610,351853187623,Journalist,"522, Suresh Circle, Hosur-801006",25,Shivamogga,Minor Injury,Low,Yes,Alive,Yes
114,80,Jack Bir,Male,27,2000-08-31,9896589641,182697728842,Engineer,"75/09, Subramanian, Pune 886008",25,Shivamogga,Minor Injury,Low,No,Alive,Yes
115,81,Luke Badal,Male,66,1983-03-31,9969855264,323269615208,Private Employee,"H.No. 182, Handa Ganj, Raichur-615679",11,Dakshina Kannada,Fatal Injury,Critical,No,Deceased,Yes
116,81,Isaiah Mital,Male,84,1998-09-13,9909243075,172579658881,Doctor,"H.No. 666, Soni Circle, Bangalore 176591",11,Dakshina Kannada,Minor Injury,Low,No,Alive,Yes
117,82,Jyoti Kakar,Female,84,2017-03-01,9872284835,410656411654,Doctor,"H.No. 148, Bali, Satna-392614",9,Chikkamagaluru,No Physical Injury,Medium,Yes,Alive,Yes
118,82,Kavya Ramachandran,Female,53,1998-02-08,9918918103,930427517714,Retired,"21/850, Sarkar Zila, Aurangabad 999650",9,Chikkamagaluru,Minor Injury,Low,No,Alive,No
119,83,Umang Swaminathan,Male,5,1959-12-13,9911303816,626313518227,Housewife,"961, Merchant, Srinagar-426265",19,Kolar,Major Injury,High,No,Alive,Yes
120,83,Damyanti Chand,Female,63,1940-12-31,9897198029,205177367650,Student,"H.No. 41, Chahal Street, Chinsurah 888610",19,Kolar,Minor Injury,Low,Yes,Alive,Yes
121,84,Raagini Chander,Female,57,1991-04-19,9901272604,156748562746,Engineer,"H.No. 466, Kibe Zila, Nadiad 244472",3,Belagavi,Fatal Injury,Critical,Yes,Deceased,No
122,84,Geetika Saran,Female,38,1964-01-06,9880429306,986105712292,Software Engineer,"H.No. 543, Hayre Chowk, Aligarh 406596",3,Belagavi,Major Injury,High,Yes,Alive,Yes
123,85,Urvi Natt,Female,47,1977-02-27,9986418801,638927331448,Shop Keeper,"H.No. 93, Murthy Chowk, Sikar-479356",10,Chitradurga,Major Injury,High,No,Alive,Yes
124,86,Ronith Patla,Male,17,1950-03-28,9967981945,467688784484,Housewife,"80/737, Biswas Road, Panchkula-434266",13,Dharwad,Minor Injury,Low,Yes,Alive,Yes
125,87,Vanya Srinivas,Female,67,1990-01-18,9916647466,188609544173,Electrician,"H.No. 89, Chopra Zila, Raichur-909656",9,Chikkamagaluru,Minor Injury,Low,Yes,Alive,Yes
126,88,Aashi Chaudhari,Female,52,1962-07-20,9982484841,461450066352,Housewife,"H.No. 67, Tella, Hapur-714611",16,Haveri,Major Injury,High,No,Alive,Yes
127,88,Owen Muni,Male,59,1969-09-19,9895646717,238925701177,Business,"H.No. 71, Sethi Chowk, Jabalpur-010512",16,Haveri,Minor Injury,Low,Yes,Alive,Yes
128,89,Yauvani Ghosh,Female,28,1987-06-21,9908137066,184559075459,Lawyer,"36, Grewal Street, Tenali 937966",5,Bengaluru Urban,Fatal Injury,Critical,Yes,Deceased,Yes
129,90,Hredhaan Jha,Male,50,1964-03-20,9966853997,299414772787,Business,"25/53, Comar Chowk, Unnao 969691",14,Gadag,No Physical Injury,Medium,Yes,Alive,Yes
130,91,Qushi Shankar,Female,45,1993-01-12,9961791567,755976858401,Farmer,"25/134, Goswami Zila, Ajmer 692966",30,Vijayapura,Minor Injury,Low,Yes,Alive,Yes
131,92,Widisha Yogi,Female,21,1999-07-02,9896107253,466526357660,Retired,"42, Murty Street, Udupi-507236",11,Dakshina Kannada,Minor Injury,Low,No,Alive,Yes
132,92,Samarth Swamy,Male,33,1975-11-20,9886788976,756792161153,Nurse,"190, Master Ganj, Panipat-842797",11,Dakshina Kannada,Minor Injury,Low,No,Alive,Yes
133,93,Dakshesh Loyal,Male,75,2006-06-11,9982371130,966453732105,Nurse,"78/361, Mishra Ganj, Hospet 517133",5,Bengaluru Urban,Minor Injury,Low,No,Alive,Yes
134,94,Upadhriti Gandhi,Female,29,1992-12-06,9886329645,761326920837,Electrician,"H.No. 958, Yohannan Road, North Dumdum-494812",11,Dakshina Kannada,Minor Injury,Low,No,Alive,Yes
135,95,Bhanumati Malhotra,Female,66,2014-04-04,9985426300,975626268288,Retired,"253, Suri Marg, Gangtok-667116",19,Kolar,Major Injury,High,Yes,Alive,Yes
136,96,Qarin Sha,Male,59,2021-04-30,9963007552,236406566757,Engineer,"17/518, Kamdar Marg, Rajpur Sonarpur 454589",5,Bengaluru Urban,Minor Injury,Low,Yes,Alive,No
137,97,Watika Oza,Female,78,2016-07-23,9872938012,778262898690,Doctor,"H.No. 701, Sastry Street, Mumbai 324241",1,Bagalkote,No Physical Injury,Medium,Yes,Alive,Yes
138,98,Jeremiah Butala,Male,74,1972-03-01,9913502772,981162165079,Nurse,"43, Chand Marg, Mumbai-712938",9,Chikkamagaluru,Major Injury,High,Yes,Alive,No
139,99,Aayush Anand,Male,33,1999-09-07,9871593622,014366158913,Retired,"27/136, Chaudry Zila, Satara 426221",25,Shivamogga,Fatal Injury,Critical,No,Deceased,No
140,99,Fitan Sarraf,Male,43,1970-05-29,9904335168,815280005054,Farmer,"97, Chadha Ganj, Kolhapur-965652",25,Shivamogga,Major Injury,High,No,Alive,No
141,100,Lakshit Chad,Male,47,1961-08-26,9902772453,568861541969,Shop Keeper,"43/898, Ramanathan Ganj, Meerut 761379",22,Mysuru,Major Injury,High,No,Alive,Yes
142,101,Abeer Patel,Male,63,2019-12-10,9880302934,409375882516,Teacher,"65/82, Bora Chowk, Dharmavaram-043006",26,Tumakuru,Minor Injury,Low,No,Alive,No
143,102,Zashil Sagar,Male,67,1976-07-24,9903844651,106213712874,Business,"88/924, Mukherjee Zila, Sasaram-285691",30,Vijayapura,Major Injury,High,Yes,Alive,No
144,102,Tejas Khare,Male,32,1945-06-24,9871515811,954968789264,Driver,"H.No. 799, More Nagar, Jamshedpur 202758",30,Vijayapura,Major Injury,High,No,Alive,Yes
145,103,Fiyaz Prabhu,Male,80,1951-05-07,9965169503,105968619585,Teacher,"H.No. 564, Bhatt Circle, Gangtok 778507",27,Udupi,Fatal Injury,Critical,No,Deceased,Yes
146,104,Qarin Dugar,Male,84,1962-03-30,9905305287,357760142828,Business,"800, Konda Nagar, Chittoor 622086",9,Chikkamagaluru,Minor Injury,Low,Yes,Alive,Yes
147,105,Naveen Kothari,Male,67,1975-12-10,9873284145,255693255154,Journalist,"H.No. 951, Ben Circle, Rajahmundry 617445",5,Bengaluru Urban,No Physical Injury,Medium,No,Alive,No
148,106,Vedant Anand,Male,85,1971-12-01,9877461243,567190019402,Farmer,"93/759, Hayre Chowk, Saharanpur 603850",1,Bagalkote,Minor Injury,Low,No,Alive,No
149,107,Aachal Puri,Female,77,2012-09-21,9879864268,205521020197,Private Employee,"836, Bhasin Chowk, Parbhani 038657",22,Mysuru,Minor Injury,Low,No,Alive,Yes
150,108,Champak Tiwari,Male,9,1951-11-28,9875755382,944015553152,Journalist,"90/62, Manne Ganj, Satna-557431",19,Kolar,Major Injury,High,No,Alive,No
